,@context,@type,itemCondition,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,offers,itemListElement,itemReviewed,reviewRating,author,publisher
0,https://schema.org,Vehicle,Used,2017 Ford Mustang,2017,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002322715/post-large/normalized/zoomcrop/2002322715-edc-02.jpg,Ford,"Used 2017 Ford Mustang GT with 10542 miles - $34,990",10542,2002322715,1FA6P8CF4H5255775,"{'@type': 'Offer', 'price': 34990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2703817'}",,,,,
1,https://schema.org,Vehicle,Used,2017 Ford Mustang,2017,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002333491/post-large/normalized/zoomcrop/2002333491-edc-02.jpg,Ford,"Used 2017 Ford Mustang GT with 17810 miles - $37,590",17810,2002333491,1FA6P8CF8H5343955,"{'@type': 'Offer', 'price': 37590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2718572'}",,,,,
2,https://schema.org,Vehicle,Used,2012 Ford Mustang,2012,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002293665/post-large/normalized/zoomcrop/2002293665-edc-02.jpg,Ford,"Used 2012 Ford Mustang GT Premium with 88052 miles - $22,590",88052,2002293665,1ZVBP8CF4C5274521,"{'@type': 'Offer', 'price': 22590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2684356'}",,,,,
3,https://schema.org,Vehicle,Used,2015 Ford Mustang,2015,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002332532/post-large/normalized/zoomcrop/2002332532-edc-02.jpg,Ford,"Used 2015 Ford Mustang EcoBoost with 53031 miles - $22,590",53031,2002332532,1FA6P8THXF5358682,"{'@type': 'Offer', 'price': 22590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2711018'}",,,,,
4,https://schema.org,Vehicle,Used,2016 Ford Mustang,2016,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002301060/post-large/normalized/zoomcrop/2002301060-edc-02.jpg,Ford,"Used 2016 Ford Mustang GT Premium with 87459 miles - $27,990",87459,2002301060,1FA6P8CF9G5258752,"{'@type': 'Offer', 'price': 27990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2695135'}",,,,,
5,https://schema.org,Vehicle,Used,2022 Ford Mustang,2022,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002324713/post-large/normalized/zoomcrop/2002324713-edc-02.jpg,Ford,"Used 2022 Ford Mustang EcoBoost with 21683 miles - $32,590",21683,2002324713,1FATP8UH3N5119264,"{'@type': 'Offer', 'price': 32590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2703339'}",,,,,
6,https://schema.org,Vehicle,Used,2014 Ford Mustang,2014,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002358780/post-large/normalized/zoomcrop/2002358780-edc-02.jpg,Ford,"Used 2014 Ford Mustang GT Premium with 33236 miles - $32,590",33236,2002358780,1ZVBP8CF7E5268540,"{'@type': 'Offer', 'price': 32590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2728179'}",,,,,
7,https://schema.org,Vehicle,Used,2011 Ford Mustang,2011,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002286661/post-large/normalized/zoomcrop/2002286661-edc-02.jpg,Ford,"Used 2011 Ford Mustang Premium with 54647 miles - $18,590",54647,2002286661,1ZVBP8AM6B5162397,"{'@type': 'Offer', 'price': 18590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2680980'}",,,,,
8,https://schema.org,Vehicle,Used,2018 Ford Mustang,2018,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002321988/post-large/normalized/zoomcrop/2002321988-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 13316 miles - $36,590",13316,2002321988,1FA6P8CF9J5162546,"{'@type': 'Offer', 'price': 36590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2708172'}",,,,,
9,https://schema.org,Vehicle,Used,2017 Ford Mustang,2017,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002332358/post-large/normalized/zoomcrop/2002332358-edc-02.jpg,Ford,"Used 2017 Ford Mustang EcoBoost Premium with 55408 miles - $25,990",55408,2002332358,1FA6P8TH0H5286720,"{'@type': 'Offer', 'price': 25990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2712922'}",,,,,
10,https://schema.org,Vehicle,Used,2020 Ford Mustang,2020,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002334595/post-large/normalized/zoomcrop/2002334595-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 23937 miles - $28,590",23937,2002334595,1FA6P8TH4L5176293,"{'@type': 'Offer', 'price': 28590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2710771'}",,,,,
11,https://schema.org,Vehicle,Used,2022 Ford Mustang,2022,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002316168/post-large/normalized/zoomcrop/2002316168-edc-02.jpg,Ford,"Used 2022 Ford Mustang EcoBoost Premium with 20381 miles - $30,990",20381,2002316168,1FA6P8TH6N5104188,"{'@type': 'Offer', 'price': 30990, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2698352'}",,,,,
12,https://schema.org,Vehicle,Used,2018 Ford Mustang,2018,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002337307/post-large/normalized/zoomcrop/2002337307-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 13049 miles - $37,590",13049,2002337307,1FA6P8CF3J5117019,"{'@type': 'Offer', 'price': 37590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2711962'}",,,,,
13,https://schema.org,Vehicle,Used,2021 Ford Mustang,2021,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002305112/post-large/normalized/zoomcrop/2002305112-edc-02.jpg,Ford,"Used 2021 Ford Mustang GT Premium with 18066 miles - $45,590",18066,2002305112,1FATP8FF6M5142919,"{'@type': 'Offer', 'price': 45590, 'priceCurrency': 'USD', 'availability': 'http://schema.org/InStock', 'priceValidUntil': 'January 1, 2030', 'url': 'https://www.carvana.com/vehicle/2695210'}",,,,,
