,name,modelDate,manufacturer,model,color,imageUrl,brand,description,mileageFromOdometer,sku,vehicleIdentificationNumber,itemReviewed,reviewRating,author,publisher,Price,desc_new,Trim
0,2017 Ford Mustang,2017.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002322715/post-large/normalized/zoomcrop/2002322715-edc-02.jpg,Ford,"Used 2017 Ford Mustang GT with 10542 miles - $34,990",10542.0,2002322715.0,1FA6P8CF4H5255775,,,,," $34,990",2017 Ford Mustang GT,GT
1,2017 Ford Mustang,2017.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002333491/post-large/normalized/zoomcrop/2002333491-edc-02.jpg,Ford,"Used 2017 Ford Mustang GT with 17810 miles - $37,590",17810.0,2002333491.0,1FA6P8CF8H5343955,,,,," $37,590",2017 Ford Mustang GT,GT
2,2012 Ford Mustang,2012.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002293665/post-large/normalized/zoomcrop/2002293665-edc-02.jpg,Ford,"Used 2012 Ford Mustang GT Premium with 88052 miles - $22,590",88052.0,2002293665.0,1ZVBP8CF4C5274521,,,,," $22,590",2012 Ford Mustang GT Premium,GT Premium
3,2015 Ford Mustang,2015.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002332532/post-large/normalized/zoomcrop/2002332532-edc-02.jpg,Ford,"Used 2015 Ford Mustang EcoBoost with 53031 miles - $22,590",53031.0,2002332532.0,1FA6P8THXF5358682,,,,," $22,590",2015 Ford Mustang EcoBoost,EcoBoost
4,2016 Ford Mustang,2016.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002301060/post-large/normalized/zoomcrop/2002301060-edc-02.jpg,Ford,"Used 2016 Ford Mustang GT Premium with 87459 miles - $27,990",87459.0,2002301060.0,1FA6P8CF9G5258752,,,,," $27,990",2016 Ford Mustang GT Premium,GT Premium
5,2022 Ford Mustang,2022.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002324713/post-large/normalized/zoomcrop/2002324713-edc-02.jpg,Ford,"Used 2022 Ford Mustang EcoBoost with 21683 miles - $32,590",21683.0,2002324713.0,1FATP8UH3N5119264,,,,," $32,590",2022 Ford Mustang EcoBoost,EcoBoost
6,2014 Ford Mustang,2014.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002358780/post-large/normalized/zoomcrop/2002358780-edc-02.jpg,Ford,"Used 2014 Ford Mustang GT Premium with 33236 miles - $32,590",33236.0,2002358780.0,1ZVBP8CF7E5268540,,,,," $32,590",2014 Ford Mustang GT Premium,GT Premium
7,2011 Ford Mustang,2011.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002286661/post-large/normalized/zoomcrop/2002286661-edc-02.jpg,Ford,"Used 2011 Ford Mustang Premium with 54647 miles - $18,590",54647.0,2002286661.0,1ZVBP8AM6B5162397,,,,," $18,590",2011 Ford Mustang Premium,Premium
8,2018 Ford Mustang,2018.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002321988/post-large/normalized/zoomcrop/2002321988-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 13316 miles - $36,590",13316.0,2002321988.0,1FA6P8CF9J5162546,,,,," $36,590",2018 Ford Mustang GT,GT
9,2017 Ford Mustang,2017.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002332358/post-large/normalized/zoomcrop/2002332358-edc-02.jpg,Ford,"Used 2017 Ford Mustang EcoBoost Premium with 55408 miles - $25,990",55408.0,2002332358.0,1FA6P8TH0H5286720,,,,," $25,990",2017 Ford Mustang EcoBoost Premium,EcoBoost Premium
10,2020 Ford Mustang,2020.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002334595/post-large/normalized/zoomcrop/2002334595-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 23937 miles - $28,590",23937.0,2002334595.0,1FA6P8TH4L5176293,,,,," $28,590",2020 Ford Mustang EcoBoost,EcoBoost
11,2022 Ford Mustang,2022.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002316168/post-large/normalized/zoomcrop/2002316168-edc-02.jpg,Ford,"Used 2022 Ford Mustang EcoBoost Premium with 20381 miles - $30,990",20381.0,2002316168.0,1FA6P8TH6N5104188,,,,," $30,990",2022 Ford Mustang EcoBoost Premium,EcoBoost Premium
12,2018 Ford Mustang,2018.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002337307/post-large/normalized/zoomcrop/2002337307-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 13049 miles - $37,590",13049.0,2002337307.0,1FA6P8CF3J5117019,,,,," $37,590",2018 Ford Mustang GT,GT
13,2021 Ford Mustang,2021.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002305112/post-large/normalized/zoomcrop/2002305112-edc-02.jpg,Ford,"Used 2021 Ford Mustang GT Premium with 18066 miles - $45,590",18066.0,2002305112.0,1FATP8FF6M5142919,,,,," $45,590",2021 Ford Mustang GT Premium,GT Premium
14,2022 Ford Mustang,2022.0,Ford,Mustang,Green,//cdnblob.fastly.carvana.io/2002278064/post-large/normalized/zoomcrop/2002278064-edc-02.jpg,Ford,"Used 2022 Ford Mustang GT Premium with 1716 miles - $45,590",1716.0,2002278064.0,1FA6P8CF4N5135938,,,,," $45,590",2022 Ford Mustang GT Premium,GT Premium
15,2014 Ford Mustang,2014.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002307635/post-large/normalized/zoomcrop/2002307635-edc-02.jpg,Ford,"Used 2014 Ford Mustang GT with 68399 miles - $25,590",68399.0,2002307635.0,1ZVBP8CF6E5327013,,,,," $25,590",2014 Ford Mustang GT,GT
16,2020 Ford Mustang,2020.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002289141/post-large/normalized/zoomcrop/2002289141-edc-02.jpg,Ford,"Used 2020 Ford Mustang GT with 1974 miles - $37,990",1974.0,2002289141.0,1FA6P8CF8L5175212,,,,," $37,990",2020 Ford Mustang GT,GT
17,2016 Ford Mustang,2016.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002258068/post-large/normalized/zoomcrop/2002258068-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost Premium with 85765 miles - $21,590",85765.0,2002258068.0,1FA6P8TH2G5257380,,,,," $21,590",2016 Ford Mustang EcoBoost Premium,EcoBoost Premium
18,2014 Ford Mustang,2014.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002349102/post-large/normalized/zoomcrop/2002349102-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 Premium with 51417 miles - $21,590",51417.0,2002349102.0,1ZVBP8AM6E5297187,,,,," $21,590",2014 Ford Mustang V6 Premium,V6 Premium
19,2015 Ford Mustang,2015.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002338459/post-large/normalized/zoomcrop/2002338459-edc-02.jpg,Ford,"Used 2015 Ford Mustang EcoBoost Premium with 52158 miles - $24,590",52158.0,2002338459.0,1FA6P8TH1F5365214,,,,," $24,590",2015 Ford Mustang EcoBoost Premium,EcoBoost Premium
22,2011 Ford Mustang,2011.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002286661/post-large/normalized/zoomcrop/2002286661-edc-02.jpg,Ford,"Used 2011 Ford Mustang Premium with 54647 miles - $18,590",54647.0,2002286661.0,1ZVBP8AM6B5162397,,,,," $18,590",2011 Ford Mustang Premium,Premium
23,2016 Ford Mustang,2016.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002258068/post-large/normalized/zoomcrop/2002258068-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost Premium with 85765 miles - $21,590",85765.0,2002258068.0,1FA6P8TH2G5257380,,,,," $21,590",2016 Ford Mustang EcoBoost Premium,EcoBoost Premium
24,2021 Ford Mustang,2021.0,Ford,Mustang,Orange,//cdnblob.fastly.carvana.io/2002365071/post-large/normalized/zoomcrop/2002365071-edc-02.jpg,Ford,"Used 2021 Ford Mustang GT with 6985 miles - $41,990",6985.0,2002365071.0,1FA6P8CF4M5104977,,,,," $41,990",2021 Ford Mustang GT,GT
25,2014 Ford Mustang,2014.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002348557/post-large/normalized/zoomcrop/2002348557-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 with 69437 miles - $19,990",69437.0,2002348557.0,1ZVBP8AM5E5217054,,,,," $19,990",2014 Ford Mustang V6,V6
26,2022 Ford Mustang,2022.0,Ford,Mustang,Green,//cdnblob.fastly.carvana.io/2002278064/post-large/normalized/zoomcrop/2002278064-edc-02.jpg,Ford,"Used 2022 Ford Mustang GT Premium with 1716 miles - $45,590",1716.0,2002278064.0,1FA6P8CF4N5135938,,,,," $45,590",2022 Ford Mustang GT Premium,GT Premium
27,2022 Ford Mustang,2022.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002298134/post-large/2002298134-edc-02-search.jpg,Ford,"Used 2022 Ford Mustang EcoBoost Premium with 24853 miles - $29,689",24853.0,2002298134.0,1FA6P8TH9N5106615,,,,," $29,689",2022 Ford Mustang EcoBoost Premium,EcoBoost Premium
28,2017 Ford Mustang,2017.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002361671/post-large/normalized/zoomcrop/2002361671-edc-02.jpg,Ford,"Used 2017 Ford Mustang GT with 39030 miles - $33,990",39030.0,2002361671.0,1FA6P8CFXH5291101,,,,," $33,990",2017 Ford Mustang GT,GT
29,2014 Ford Mustang,2014.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002352241/post-large/normalized/zoomcrop/2002352241-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 with 100986 miles - $17,990",100986.0,2002352241.0,1ZVBP8AM8E5294405,,,,," $17,990",2014 Ford Mustang V6,V6
30,2021 Ford Mustang,2021.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002345709/post-large/2002345709-edc-02-search.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 49031 miles - $27,400",49031.0,2002345709.0,1FATP8UH7M5124837,,,,," $27,400",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
31,2018 Ford Mustang,2018.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002345539/post-large/normalized/zoomcrop/2002345539-edc-02.jpg,Ford,"Used 2018 Ford Mustang EcoBoost Premium with 48379 miles - $27,590",48379.0,2002345539.0,1FA6P8TH4J5157174,,,,," $27,590",2018 Ford Mustang EcoBoost Premium,EcoBoost Premium
32,2020 Ford Mustang,2020.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002273079/post-large/normalized/zoomcrop/2002273079-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 44357 miles - $26,990",44357.0,2002273079.0,1FA6P8TH0L5183659,,,,," $26,990",2020 Ford Mustang EcoBoost,EcoBoost
33,2022 Ford Mustang,2022.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002320747/post-large/2002320747-edc-02-search.jpg,Ford,"Used 2022 Ford Mustang GT Premium with 27624 miles - $39,899",27624.0,2002320747.0,1FA6P8CF0N5106047,,,,," $39,899",2022 Ford Mustang GT Premium,GT Premium
34,2014 Ford Mustang,2014.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002349102/post-large/normalized/zoomcrop/2002349102-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 Premium with 51417 miles - $21,590",51417.0,2002349102.0,1ZVBP8AM6E5297187,,,,," $21,590",2014 Ford Mustang V6 Premium,V6 Premium
35,2018 Ford Mustang,2018.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002325129/post-large/normalized/zoomcrop/2002325129-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT Premium with 5812 miles - $39,990",5812.0,2002325129.0,1FA6P8CF7J5159760,,,,," $39,990",2018 Ford Mustang GT Premium,GT Premium
36,2014 Ford Mustang,2014.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002307635/post-large/normalized/zoomcrop/2002307635-edc-02.jpg,Ford,"Used 2014 Ford Mustang GT with 68399 miles - $25,590",68399.0,2002307635.0,1ZVBP8CF6E5327013,,,,," $25,590",2014 Ford Mustang GT,GT
37,2020 Ford Mustang,2020.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002334595/post-large/normalized/zoomcrop/2002334595-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 23937 miles - $28,590",23937.0,2002334595.0,1FA6P8TH4L5176293,,,,," $28,590",2020 Ford Mustang EcoBoost,EcoBoost
38,2018 Ford Mustang,2018.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002337307/post-large/normalized/zoomcrop/2002337307-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 13049 miles - $37,590",13049.0,2002337307.0,1FA6P8CF3J5117019,,,,," $37,590",2018 Ford Mustang GT,GT
39,2020 Ford Mustang,2020.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002338479/post-large/normalized/zoomcrop/2002338479-edc-02.jpg,Ford,"Used 2020 Ford Mustang GT with 32591 miles - $35,590",32591.0,2002338479.0,1FA6P8CF0L5149591,,,,," $35,590",2020 Ford Mustang GT,GT
40,2022 Ford Mustang,2022.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002308536/post-large/2002308536-edc-02-search.jpg,Ford,"Used 2022 Ford Mustang EcoBoost Premium with 21492 miles - $28,988",21492.0,2002308536.0,1FA6P8TH7N5103888,,,,," $28,988",2022 Ford Mustang EcoBoost Premium,EcoBoost Premium
41,2016 Ford Mustang,2016.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002334569/post-large/normalized/zoomcrop/2002334569-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost with 59334 miles - $23,590",59334.0,2002334569.0,1FA6P8TH6G5272738,,,,," $23,590",2016 Ford Mustang EcoBoost,EcoBoost
44,2012 Ford Mustang,2012.0,Ford,Mustang,Blue,//cdnblob.fastly.carvana.io/2002278586/post-large/normalized/zoomcrop/2002278586-edc-02.jpg,Ford,"Used 2012 Ford Mustang Boss 302 with 16438 miles - $37,590",16438.0,2002278586.0,1ZVBP8CU4C5202572,,,,," $37,590",2012 Ford Mustang Boss 302,Boss 302
45,2022 Ford Mustang,2022.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002299497/post-large/normalized/zoomcrop/2002299497-edc-02.jpg,Ford,"Used 2022 Ford Mustang EcoBoost with 5528 miles - $30,590",5528.0,2002299497.0,1FA6P8TH1N5133677,,,,," $30,590",2022 Ford Mustang EcoBoost,EcoBoost
46,2015 Ford Mustang,2015.0,Ford,Mustang,Green,//cdnblob.fastly.carvana.io/2002287993/post-large/normalized/zoomcrop/2002287993-edc-02.jpg,Ford,"Used 2015 Ford Mustang GT Premium with 50126 miles - $30,590",50126.0,2002287993.0,1FA6P8CF1F5313404,,,,," $30,590",2015 Ford Mustang GT Premium,GT Premium
47,2015 Ford Mustang,2015.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002321927/post-large/normalized/zoomcrop/2002321927-edc-02.jpg,Ford,"Used 2015 Ford Mustang GT Premium with 44194 miles - $31,590",44194.0,2002321927.0,1FA6P8CF1F5385834,,,,," $31,590",2015 Ford Mustang GT Premium,GT Premium
48,2017 Ford Mustang,2017.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002364414/post-large/normalized/zoomcrop/2002364414-edc-02.jpg,Ford,"Used 2017 Ford Mustang V6 with 57073 miles - $24,590",57073.0,2002364414.0,1FA6P8AM8H5244568,,,,," $24,590",2017 Ford Mustang V6,V6
49,2014 Ford Mustang,2014.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002319352/post-large/normalized/zoomcrop/2002319352-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 with 35082 miles - $20,590",35082.0,2002319352.0,1ZVBP8AMXE5327453,,,,," $20,590",2014 Ford Mustang V6,V6
50,2014 Ford Mustang,2014.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002273042/post-large/normalized/zoomcrop/2002273042-edc-02.jpg,Ford,"Used 2014 Ford Mustang GT Premium with 14741 miles - $31,590",14741.0,2002273042.0,1ZVBP8CF3E5283648,,,,," $31,590",2014 Ford Mustang GT Premium,GT Premium
51,2021 Ford Mustang,2021.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002317018/post-large/2002317018-edc-02-search.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 45774 miles - $27,688",45774.0,2002317018.0,1FATP8UH3M5120848,,,,," $27,688",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
52,2022 Ford Mustang,2022.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002336966/post-large/normalized/zoomcrop/2002336966-edc-02.jpg,Ford,"Used 2022 Ford Mustang Mach 1 with 1406 miles - $55,990",1406.0,2002336966.0,1FA6P8R08N5554717,,,,," $55,990",2022 Ford Mustang Mach 1,Mach 1
53,2016 Ford Mustang,2016.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002351115/post-large/normalized/zoomcrop/2002351115-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost with 45308 miles - $24,990",45308.0,2002351115.0,1FA6P8TH7G5220017,,,,," $24,990",2016 Ford Mustang EcoBoost,EcoBoost
54,2022 Ford Mustang,2022.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002298134/post-large/2002298134-edc-02-search.jpg,Ford,"Used 2022 Ford Mustang EcoBoost Premium with 24853 miles - $29,689",24853.0,2002298134.0,1FA6P8TH9N5106615,,,,," $29,689",2022 Ford Mustang EcoBoost Premium,EcoBoost Premium
55,2019 Ford Mustang,2019.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002304370/post-large/normalized/zoomcrop/2002304370-edc-02.jpg,Ford,"Used 2019 Ford Mustang EcoBoost Premium with 25586 miles - $27,990",25586.0,2002304370.0,1FA6P8TH5K5120507,,,,," $27,990",2019 Ford Mustang EcoBoost Premium,EcoBoost Premium
56,2018 Ford Mustang,2018.0,Ford,Mustang,Orange,//cdnblob.fastly.carvana.io/2002295423/post-large/normalized/zoomcrop/2002295423-edc-02.jpg,Ford,"Used 2018 Ford Mustang GT with 5236 miles - $36,590",5236.0,2002295423.0,1FA6P8CF0J5116975,,,,," $36,590",2018 Ford Mustang GT,GT
57,2019 Ford Mustang,2019.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002290187/post-large/normalized/zoomcrop/2002290187-edc-02.jpg,Ford,"Used 2019 Ford Mustang EcoBoost Premium with 62533 miles - $24,990",62533.0,2002290187.0,1FATP8UH0K5170894,,,,," $24,990",2019 Ford Mustang EcoBoost Premium,EcoBoost Premium
58,2021 Ford Mustang,2021.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002323034/post-large/normalized/zoomcrop/2002323034-edc-02.jpg,Ford,"Used 2021 Ford Mustang EcoBoost with 4154 miles - $32,990",4154.0,2002323034.0,1FA6P8TH2M5146792,,,,," $32,990",2021 Ford Mustang EcoBoost,EcoBoost
59,2016 Ford Mustang,2016.0,Ford,Mustang,Gray,//cdnblob.fastly.carvana.io/2002285021/post-large/normalized/zoomcrop/2002285021-edc-02.jpg,Ford,"Used 2016 Ford Mustang GT Premium with 38940 miles - $30,590",38940.0,2002285021.0,1FA6P8CF9G5229591,,,,," $30,590",2016 Ford Mustang GT Premium,GT Premium
60,2021 Ford Mustang,2021.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002317020/post-large/2002317020-edc-02-search.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 44934 miles - $27,779",44934.0,2002317020.0,1FATP8UH7M5124921,,,,," $27,779",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
61,2014 Ford Mustang,2014.0,Ford,Mustang,Black,//cdnblob.fastly.carvana.io/2002315577/post-large/normalized/zoomcrop/2002315577-edc-02.jpg,Ford,"Used 2014 Ford Mustang GT with 40687 miles - $28,590",40687.0,2002315577.0,1ZVBP8CF1E5327114,,,,," $28,590",2014 Ford Mustang GT,GT
62,2015 Ford Mustang,2015.0,Ford,Mustang,Other,//cdnblob.fastly.carvana.io/2002294194/post-large/normalized/zoomcrop/2002294194-edc-02.jpg,Ford,"Used 2015 Ford Mustang V6 with 70269 miles - $19,990",70269.0,2002294194.0,1FA6P8AM2F5331122,,,,," $19,990",2015 Ford Mustang V6,V6
63,2021 Ford Mustang,2021.0,Ford,Mustang,White,//cdnblob.fastly.carvana.io/2002345709/post-large/2002345709-edc-02-search.jpg,Ford,"Used 2021 Ford Mustang EcoBoost Premium with 49031 miles - $27,400",49031.0,2002345709.0,1FATP8UH7M5124837,,,,," $27,400",2021 Ford Mustang EcoBoost Premium,EcoBoost Premium
66,2016 Ford Mustang,2016.0,Ford,Mustang,Silver,//cdnblob.fastly.carvana.io/2002360123/post-large/normalized/zoomcrop/2002360123-edc-02.jpg,Ford,"Used 2016 Ford Mustang EcoBoost Premium with 46762 miles - $24,990",46762.0,2002360123.0,1FATP8UH5G5295882,,,,," $24,990",2016 Ford Mustang EcoBoost Premium,EcoBoost Premium
67,2020 Ford Mustang,2020.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002342385/post-large/normalized/zoomcrop/2002342385-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost Premium with 26526 miles - $30,990",26526.0,2002342385.0,1FA6P8TH0L5103728,,,,," $30,990",2020 Ford Mustang EcoBoost Premium,EcoBoost Premium
68,2020 Ford Mustang,2020.0,Ford,Mustang,Green,//cdnblob.fastly.carvana.io/2002361737/post-large/normalized/zoomcrop/2002361737-edc-02.jpg,Ford,"Used 2020 Ford Mustang EcoBoost with 13734 miles - $30,990",13734.0,2002361737.0,1FA6P8TH0L5162486,,,,," $30,990",2020 Ford Mustang EcoBoost,EcoBoost
69,2014 Ford Mustang,2014.0,Ford,Mustang,Red,//cdnblob.fastly.carvana.io/2002331819/post-large/normalized/zoomcrop/2002331819-edc-02.jpg,Ford,"Used 2014 Ford Mustang V6 with 35321 miles - $21,590",35321.0,2002331819.0,1ZVBP8AM2E5309027,,,,," $21,590",2014 Ford Mustang V6,V6
